,lyric,line,track_title,album,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo
0,He said the way my blue eyes shined,1,Tim McGraw,Taylor Swift,2006-10-24,232106,49,0.58,0.575,0.491,0.0,0.121,-6.462000000000001,0.0251,0.425,76.009
1,Put those Georgia stars to shame that night,2,Tim McGraw,Taylor Swift,2006-10-24,232106,49,0.58,0.575,0.491,0.0,0.121,-6.462000000000001,0.0251,0.425,76.009
2,"I said, ""That's a lie""",3,Tim McGraw,Taylor Swift,2006-10-24,232106,49,0.58,0.575,0.491,0.0,0.121,-6.462000000000001,0.0251,0.425,76.009
3,Just a boy in a Chevy truck,4,Tim McGraw,Taylor Swift,2006-10-24,232106,49,0.58,0.575,0.491,0.0,0.121,-6.462000000000001,0.0251,0.425,76.009
4,That had a tendency of gettin' stuck,5,Tim McGraw,Taylor Swift,2006-10-24,232106,49,0.58,0.575,0.491,0.0,0.121,-6.462000000000001,0.0251,0.425,76.009
5,On backroads at night,6,Tim McGraw,Taylor Swift,2006-10-24,232106,49,0.58,0.575,0.491,0.0,0.121,-6.462000000000001,0.0251,0.425,76.009
6,And I was right there beside him all summer long,7,Tim McGraw,Taylor Swift,2006-10-24,232106,49,0.58,0.575,0.491,0.0,0.121,-6.462000000000001,0.0251,0.425,76.009
7,And then the time we woke up to find that summer gone,8,Tim McGraw,Taylor Swift,2006-10-24,232106,49,0.58,0.575,0.491,0.0,0.121,-6.462000000000001,0.0251,0.425,76.009
8,But when you think Tim McGraw,9,Tim McGraw,Taylor Swift,2006-10-24,232106,49,0.58,0.575,0.491,0.0,0.121,-6.462000000000001,0.0251,0.425,76.009
9,I hope you think my favorite song,10,Tim McGraw,Taylor Swift,2006-10-24,232106,49,0.58,0.575,0.491,0.0,0.121,-6.462000000000001,0.0251,0.425,76.009
10,The one we danced to all night long,11,Tim McGraw,Taylor Swift,2006-10-24,232106,49,0.58,0.575,0.491,0.0,0.121,-6.462000000000001,0.0251,0.425,76.009
11,The moon like a spotlight on the lake,12,Tim McGraw,Taylor Swift,2006-10-24,232106,49,0.58,0.575,0.491,0.0,0.121,-6.462000000000001,0.0251,0.425,76.009
12,When you think happiness,13,Tim McGraw,Taylor Swift,2006-10-24,232106,49,0.58,0.575,0.491,0.0,0.121,-6.462000000000001,0.0251,0.425,76.009
13,I hope you think that little black dress,14,Tim McGraw,Taylor Swift,2006-10-24,232106,49,0.58,0.575,0.491,0.0,0.121,-6.462000000000001,0.0251,0.425,76.009
14,Think of my head on your chest,15,Tim McGraw,Taylor Swift,2006-10-24,232106,49,0.58,0.575,0.491,0.0,0.121,-6.462000000000001,0.0251,0.425,76.009
15,And my old faded blue jeans,16,Tim McGraw,Taylor Swift,2006-10-24,232106,49,0.58,0.575,0.491,0.0,0.121,-6.462000000000001,0.0251,0.425,76.009
16,When you think Tim McGraw,17,Tim McGraw,Taylor Swift,2006-10-24,232106,49,0.58,0.575,0.491,0.0,0.121,-6.462000000000001,0.0251,0.425,76.009
17,I hope you think of me,18,Tim McGraw,Taylor Swift,2006-10-24,232106,49,0.58,0.575,0.491,0.0,0.121,-6.462000000000001,0.0251,0.425,76.009
18,September saw a month of tears,19,Tim McGraw,Taylor Swift,2006-10-24,232106,49,0.58,0.575,0.491,0.0,0.121,-6.462000000000001,0.0251,0.425,76.009
19,And thankin' God that you weren't here,20,Tim McGraw,Taylor Swift,2006-10-24,232106,49,0.58,0.575,0.491,0.0,0.121,-6.462000000000001,0.0251,0.425,76.009
20,To see me like that,21,Tim McGraw,Taylor Swift,2006-10-24,232106,49,0.58,0.575,0.491,0.0,0.121,-6.462000000000001,0.0251,0.425,76.009
21,But in a box beneath my bed,22,Tim McGraw,Taylor Swift,2006-10-24,232106,49,0.58,0.575,0.491,0.0,0.121,-6.462000000000001,0.0251,0.425,76.009
22,Is a letter that you never read,23,Tim McGraw,Taylor Swift,2006-10-24,232106,49,0.58,0.575,0.491,0.0,0.121,-6.462000000000001,0.0251,0.425,76.009
23,From three summers back,24,Tim McGraw,Taylor Swift,2006-10-24,232106,49,0.58,0.575,0.491,0.0,0.121,-6.462000000000001,0.0251,0.425,76.009
24,It's hard not to find it all a little bittersweet,25,Tim McGraw,Taylor Swift,2006-10-24,232106,49,0.58,0.575,0.491,0.0,0.121,-6.462000000000001,0.0251,0.425,76.009
25,"And lookin' back on all of that, it's nice to believe",26,Tim McGraw,Taylor Swift,2006-10-24,232106,49,0.58,0.575,0.491,0.0,0.121,-6.462000000000001,0.0251,0.425,76.009
26,And I'm back for the first time since then,37,Tim McGraw,Taylor Swift,2006-10-24,232106,49,0.58,0.575,0.491,0.0,0.121,-6.462000000000001,0.0251,0.425,76.009
27,I'm standin' on your street,38,Tim McGraw,Taylor Swift,2006-10-24,232106,49,0.58,0.575,0.491,0.0,0.121,-6.462000000000001,0.0251,0.425,76.009
28,And there's a letter left on your doorstep,39,Tim McGraw,Taylor Swift,2006-10-24,232106,49,0.58,0.575,0.491,0.0,0.121,-6.462000000000001,0.0251,0.425,76.009
29,And the first thing that you'll read is:,40,Tim McGraw,Taylor Swift,2006-10-24,232106,49,0.58,0.575,0.491,0.0,0.121,-6.462000000000001,0.0251,0.425,76.009
30,"""When you think Tim McGraw",41,Tim McGraw,Taylor Swift,2006-10-24,232106,49,0.58,0.575,0.491,0.0,0.121,-6.462000000000001,0.0251,0.425,76.009
31,Someday you'll turn your radio on,43,Tim McGraw,Taylor Swift,2006-10-24,232106,49,0.58,0.575,0.491,0.0,0.121,-6.462000000000001,0.0251,0.425,76.009
32,"I hope it takes you back to that place""",44,Tim McGraw,Taylor Swift,2006-10-24,232106,49,0.58,0.575,0.491,0.0,0.121,-6.462000000000001,0.0251,0.425,76.009
33,"Oh, think of me",51,Tim McGraw,Taylor Swift,2006-10-24,232106,49,0.58,0.575,0.491,0.0,0.121,-6.462000000000001,0.0251,0.425,76.009
34,Mmmm,52,Tim McGraw,Taylor Swift,2006-10-24,232106,49,0.58,0.575,0.491,0.0,0.121,-6.462000000000001,0.0251,0.425,76.009
35,He said the way my blue eyes shine,53,Tim McGraw,Taylor Swift,2006-10-24,232106,49,0.58,0.575,0.491,0.0,0.121,-6.462000000000001,0.0251,0.425,76.009
36,"State the obvious, I didn't get my perfect fantasy",1,Picture To Burn,Taylor Swift,2006-10-24,173066,54,0.6579999999999999,0.17300000000000001,0.877,0.0,0.0962,-2.0980000000000003,0.0323,0.821,105.586
37,I realize you love yourself more than you could ever love me,2,Picture To Burn,Taylor Swift,2006-10-24,173066,54,0.6579999999999999,0.17300000000000001,0.877,0.0,0.0962,-2.0980000000000003,0.0323,0.821,105.586
38,So go and tell your friends that I'm obsessive and crazy,3,Picture To Burn,Taylor Swift,2006-10-24,173066,54,0.6579999999999999,0.17300000000000001,0.877,0.0,0.0962,-2.0980000000000003,0.0323,0.821,105.586
39,"That's fine, I'll tell mine that you're gay",4,Picture To Burn,Taylor Swift,2006-10-24,173066,54,0.6579999999999999,0.17300000000000001,0.877,0.0,0.0962,-2.0980000000000003,0.0323,0.821,105.586
40,By the way,5,Picture To Burn,Taylor Swift,2006-10-24,173066,54,0.6579999999999999,0.17300000000000001,0.877,0.0,0.0962,-2.0980000000000003,0.0323,0.821,105.586
41,I hate that stupid old pickup truck,6,Picture To Burn,Taylor Swift,2006-10-24,173066,54,0.6579999999999999,0.17300000000000001,0.877,0.0,0.0962,-2.0980000000000003,0.0323,0.821,105.586
