,Unnamed: 0,lyric,line,track_title,album,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,Without Stopwords,With Lemmatization,Without Stopwords and With Lemmatization,Lowercase and Expanded Contraction
0,0,He said the way my blue eyes shined,1,Tim McGraw,Taylor Swift,2006-10-24,232106,49,0.58,0.575,0.491,0.0,0.121,-6.4620000000000015,0.0251,0.425,76.009,said way blue eyes shined,he say the way my blue eye shin,say way blue eye shin,he said the way my blue eyes shined
1,1,Put those Georgia stars to shame that night,2,Tim McGraw,Taylor Swift,2006-10-24,232106,49,0.58,0.575,0.491,0.0,0.121,-6.4620000000000015,0.0251,0.425,76.009,put georgia stars shame night,put those georgia star to shame that night,put georgia star shame night,put those georgia stars to shame that night
2,2,"I said, ""that is a lie""",3,Tim McGraw,Taylor Swift,2006-10-24,232106,49,0.58,0.575,0.491,0.0,0.121,-6.4620000000000015,0.0251,0.425,76.009,said lie,i say that be a lie,say lie,i said that is a lie
3,3,Just a boy in a Chevy truck,4,Tim McGraw,Taylor Swift,2006-10-24,232106,49,0.58,0.575,0.491,0.0,0.121,-6.4620000000000015,0.0251,0.425,76.009,boy chevy truck,just a boy in a chevy truck,boy chevy truck,just a boy in a chevy truck
4,4,That had a tendency of gettin' stuck,5,Tim McGraw,Taylor Swift,2006-10-24,232106,49,0.58,0.575,0.491,0.0,0.121,-6.4620000000000015,0.0251,0.425,76.009,tendency gettin stuck,that have a tendency of gettin stuck,tendency gettin stuck,that had a tendency of gettin stuck
5,5,On backroads at night,6,Tim McGraw,Taylor Swift,2006-10-24,232106,49,0.58,0.575,0.491,0.0,0.121,-6.4620000000000015,0.0251,0.425,76.009,backroads night,on backroads at night,backroads night,on backroads at night
6,6,And I was right there beside him all summer long,7,Tim McGraw,Taylor Swift,2006-10-24,232106,49,0.58,0.575,0.491,0.0,0.121,-6.4620000000000015,0.0251,0.425,76.009,right beside summer long,and i be right there beside him all summer long,right beside summer long,and i was right there beside him all summer long
7,7,And then the time we woke up to find that summer gone,8,Tim McGraw,Taylor Swift,2006-10-24,232106,49,0.58,0.575,0.491,0.0,0.121,-6.4620000000000015,0.0251,0.425,76.009,time woke find summer gone,and then the time we wake up to find that summer go,time wake find summer go,and then the time we woke up to find that summer gone
8,8,But when you think Tim McGraw,9,Tim McGraw,Taylor Swift,2006-10-24,232106,49,0.58,0.575,0.491,0.0,0.121,-6.4620000000000015,0.0251,0.425,76.009,think tim mcgraw,but when you think tim mcgraw,think tim mcgraw,but when you think tim mcgraw
9,9,I hope you think my favorite song,10,Tim McGraw,Taylor Swift,2006-10-24,232106,49,0.58,0.575,0.491,0.0,0.121,-6.4620000000000015,0.0251,0.425,76.009,hope think favorite song,i hope you think my favorite song,hope think favorite song,i hope you think my favorite song
10,10,The one we danced to all night long,11,Tim McGraw,Taylor Swift,2006-10-24,232106,49,0.58,0.575,0.491,0.0,0.121,-6.4620000000000015,0.0251,0.425,76.009,one danced night long,the one we dance to all night long,one dance night long,the one we danced to all night long
11,11,The moon like a spotlight on the lake,12,Tim McGraw,Taylor Swift,2006-10-24,232106,49,0.58,0.575,0.491,0.0,0.121,-6.4620000000000015,0.0251,0.425,76.009,moon like spotlight lake,the moon like a spotlight on the lake,moon like spotlight lake,the moon like a spotlight on the lake
12,12,When you think happiness,13,Tim McGraw,Taylor Swift,2006-10-24,232106,49,0.58,0.575,0.491,0.0,0.121,-6.4620000000000015,0.0251,0.425,76.009,think happiness,when you think happiness,think happiness,when you think happiness
13,13,I hope you think that little black dress,14,Tim McGraw,Taylor Swift,2006-10-24,232106,49,0.58,0.575,0.491,0.0,0.121,-6.4620000000000015,0.0251,0.425,76.009,hope think little black dress,i hope you think that little black dress,hope think little black dress,i hope you think that little black dress
14,14,Think of my head on your chest,15,Tim McGraw,Taylor Swift,2006-10-24,232106,49,0.58,0.575,0.491,0.0,0.121,-6.4620000000000015,0.0251,0.425,76.009,think head chest,think of my head on your chest,think head chest,think of my head on your chest
15,15,And my old faded blue jeans,16,Tim McGraw,Taylor Swift,2006-10-24,232106,49,0.58,0.575,0.491,0.0,0.121,-6.4620000000000015,0.0251,0.425,76.009,old faded blue jeans,and my old fade blue jean,old fade blue jean,and my old faded blue jeans
16,16,When you think Tim McGraw,17,Tim McGraw,Taylor Swift,2006-10-24,232106,49,0.58,0.575,0.491,0.0,0.121,-6.4620000000000015,0.0251,0.425,76.009,think tim mcgraw,when you think tim mcgraw,think tim mcgraw,when you think tim mcgraw
17,17,I hope you think of me,18,Tim McGraw,Taylor Swift,2006-10-24,232106,49,0.58,0.575,0.491,0.0,0.121,-6.4620000000000015,0.0251,0.425,76.009,hope think,i hope you think of me,hope think,i hope you think of me
